Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-13,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-14,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-15,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-16,44110.000000,44110.000000,35780.000000,35780.000000,35083.480469,84643
2023-06-19,null,null,null,null,null,null
2023-06-20,35780.000000,36290.000000,34630.000000,35800.000000,35103.093750,38448
2023-06-21,36075.871094,36075.871094,36075.871094,36075.871094,35373.593750,564
2023-06-22,37000.000000,37000.000000,37000.000000,37000.000000,36279.730469,6177
2023-06-23,36990.000000,36990.000000,34600.000000,34600.000000,33926.453125,41766
2023-06-26,34600.000000,36190.000000,34600.000000,35990.000000,35289.390625,13677
2023-06-27,36000.000000,36000.000000,35880.000000,35880.000000,35497.152344,4731
2023-06-28,35068.949219,35068.949219,35068.949219,35068.949219,34694.753906,493
2023-06-29,34454.820313,34454.820313,34454.820313,34454.820313,34087.179688,707
2023-06-30,36000.000000,36000.000000,36000.000000,36000.000000,35615.871094,11662
2023-07-03,null,null,null,null,null,null
2023-07-04,36000.000000,36000.000000,36000.000000,36000.000000,35615.871094,490
2023-07-05,34760.000000,34760.000000,34760.000000,34760.000000,34389.101563,917
2023-07-06,35990.000000,35990.000000,35990.000000,35990.000000,35605.976563,1464
2023-07-07,35940.000000,37010.000000,35940.000000,37010.000000,36615.093750,4838
2023-07-10,35980.000000,35980.000000,35900.000000,35900.000000,35516.937500,12559
2023-07-11,35130.000000,36900.000000,35130.000000,36000.000000,35615.871094,26164
2023-07-12,36500.000000,37900.000000,36500.000000,37900.000000,37495.597656,5671
2023-07-13,37900.000000,38000.000000,37010.000000,38000.000000,37594.531250,4246
2023-07-14,38750.000000,38750.000000,38120.000000,38120.000000,37713.250000,1115
2023-07-17,36800.000000,37500.000000,36800.000000,37400.000000,37000.933594,56833
2023-07-18,37400.000000,38580.000000,37400.000000,37400.000000,37000.933594,2624
2023-07-19,38440.000000,39000.000000,37540.000000,38800.000000,38385.996094,12555
2023-07-20,38800.000000,38800.000000,38800.000000,38800.000000,38385.996094,0
2023-07-21,39000.000000,39000.000000,38700.000000,39000.000000,38583.859375,15369
2023-07-24,40000.000000,40000.000000,37670.000000,39000.000000,38583.859375,4869
2023-07-25,39000.000000,39000.000000,39000.000000,39000.000000,38583.859375,1240
2023-07-26,38000.000000,38200.000000,38000.000000,38200.000000,37792.398438,4005
2023-07-27,38980.000000,38980.000000,38900.000000,38900.000000,38484.925781,2438
2023-07-28,37600.000000,37800.000000,35180.000000,36170.000000,35784.058594,17223
2023-07-31,36170.000000,36170.000000,36170.000000,36170.000000,35784.058594,0
2023-08-01,37770.000000,37770.000000,36550.000000,36550.000000,36160.003906,10322
2023-08-02,36720.000000,36720.000000,36720.000000,36758.980469,36366.753906,577
2023-08-03,36410.000000,36410.000000,36000.000000,36000.000000,35615.871094,9189
2023-08-04,36000.000000,36000.000000,36000.000000,36000.000000,35615.871094,0
2023-08-07,36000.000000,36000.000000,36000.000000,36000.000000,35615.871094,0
2023-08-08,35000.000000,35000.000000,35000.000000,35000.000000,34626.542969,6285
2023-08-09,35600.000000,36000.000000,35600.000000,36000.000000,35615.871094,3807
2023-08-10,36000.000000,36800.000000,34100.000000,36800.000000,36407.335938,11042
2023-08-11,36000.000000,37400.000000,36000.000000,37400.000000,37000.933594,124826280
2023-08-14,37390.000000,37390.000000,37390.000000,37390.000000,36991.039063,378
2023-08-15,37000.000000,37000.000000,34500.000000,36400.000000,36011.601563,2129
2023-08-16,36400.000000,36450.000000,36390.000000,36450.000000,36061.070313,9723
